remote_addr | extra | extra2 | remote_user [time_local] | request | status | body_bytes_sent | http_referer | http_user_agent | http_x_forwarded_for
172.31.14.197 | - | - | [21/Feb/2024:01:06:08 +0000] |  GET /.env HTTP/1.1 |400|154| - | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36 |29.186.58.82
172.31.14.197 | - | - | [21/Feb/2024:01:06:09 +0000] |  POST / HTTP/1.1 |400|154| - | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36 |86.199.169.25
172.31.14.197 | - | - | [21/Feb/2024:01:11:01 +0000] |  GET /wp-login.php HTTP/1.1 |404|179| - | Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/95.0 |174.37.186.28
172.31.14.197 | - | - | [21/Feb/2024:01:11:09 +0000] |  GET / HTTP/1.1 |200|3557| - | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 |21.99.115.142
172.31.14.197 | - | - | [21/Feb/2024:01:11:09 +0000] |  GET / HTTP/1.1 |200|3557|- | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 |26.51.121.88
172.31.14.197 | - | - | [21/Feb/2024:01:15:16 +0000] |  GET /.env HTTP/1.1 |400|154| - | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36 |111.188.3.160
172.31.14.197 | - | - | [21/Feb/2024:01:15:16 +0000] |  POST / HTTP/1.1 |400|154| - | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36 |174.157.179.39
172.31.14.197 | - | - | [21/Feb/2024:01:15:29 +0000] |  GET / HTTP/1.1 |400|154| - | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 |198.69.113.72
172.31.27.145 | - | - | [21/Feb/2024:01:16:24 +0000] |  GET / HTTP/1.1 |400|154| - | python-requests/2.31.0 |160.105.100.149
172.31.14.197 | - | - | [21/Feb/2024:01:42:07 +0000] |  GET / HTTP/1.1 |400|154| - | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko, Foregenix) Chrome/91.0.4472.77 Safari/537.36 |23.22.179.162
